id,name,riskScore,riskImpact,riskLikelihood,logo,fetchId,version,ratingValue,ratingCount,description,itemCategory,userCount,category,lastUpdate,creationDate,size,author,smallBanner,marqueeBanner,email,emailIsInvalid,supportedLanguages,website,url,numScreenshots,numVideos,downloadUrl,isFeatured,paymentType,privacyPolicyUrl,resurrectionDate,previousObsoleteDate,crawlCountry,publisherAddress,publisherCountry,isTrustedPublisher,isMature,byGoogle,helpUrl,isUnlisted,extension-rank,theme-rank,application-rank,overall-rank,manifest_manifest_version,manifest_has_browser_action,manifest_has_page_action,manifest_minimum_chrome_version,manifest_override_homepage,manifest_override_search_provider,manifest_override_bookmarks,manifest_override_history,manifest_override_newtab,manifest_startup_pages,manifest_has_devtools_page,manifest_has_commands,manifest_has_content_scripts,manifest_has_oauth,manifest_has_file_browser_handlers,manifest_has_nacl_modules,manifest_offline_enabled,manifest_omnibox_keyword,manifest_optional_permissions,manifest_permissions,manifest_host_permissions,manifest_optional_host_permissions,manifest_num_site_permissions,manifest_web_accessible_resources
efaidnbmnnnibpcajpcglclefindmkaj,"Adobe Acrobat: PDF edit, convert, sign tools",2,3,1,https://lh3.googleusercontent.com/aqahGz3euXadmtmp8NZnuKPoUm4cmewNY0AI1a_cMsC28cfvB2Bx3NArY9Mi50o2zF45Uh74Rmmq-Bh6dJRsVAbm,20241122,24.11.1.0,4.38756947,52001,"Do more in Google Chrome with Adobe Acrobat PDF tools. View, fill, comment, sign, and try convert and compress tools.",extension,227000000,productivity/workflow,2024.11.22,2020.6.23,1971323,https://www.adobe.com,https://lh3.googleusercontent.com/FLSKa8-PwU_yrsh6Z1uIKT6NLn1S9zlF3paTDkkeoDGxE5Sv-_wfxvCOPUiQVfrLFtfjFiSCM8O4P1BRQqItgl76,,chrome-support@adobe.com,,"[""de"",""en"",""en-GB"",""fr"",""nl"",""no"",""tr"",""ca"",""da"",""es"",""hr"",""it"",""hu"",""pl"",""pt-BR"",""ro"",""sk"",""sl"",""fi"",""sv"",""cs"",""ru"",""uk"",""zh-CN"",""zh-TW"",""ja"",""ko""]",https://www.adobe.com,https://chromewebstore.google.com/detail/adobe-acrobat-pdf-edit-co/efaidnbmnnnibpcajpcglclefindmkaj,5,1,https://chrome-stats.com/api/download?id=efaidnbmnnnibpcajpcglclefindmkaj&version=24.11.1.0&type=CRX,TRUE,free,https://www.adobe.com/privacy/policy.html,,,,"345 Park Ave
San Jose, CA 95110
US",US,TRUE,,,http://forums.adobe.com/community/acrobat?view=overview,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
bgnkhhnnamicmpeenaelnjfhikgbkllg,AdGuard AdBlocker,3,3,1,https://lh3.googleusercontent.com/57Xn_IaQgeKxwEljtoasXiYOiUzZuJlJLfwZzYFXMwzGIYTAGqs3HLdEurP6l-Yl_x__6tpGpuScqbAt9KeOHsXBPw,20241122,5.0.170,4.682087247,62168,"Unmatched adblock extension against advertising and pop-ups. Blocks ads on Facebook, YouTube and all other websites.",extension,14000000,make_chrome_yours/privacy,2024.11.21,2020.5.21,33376174,https://adguard.com,https://lh3.googleusercontent.com/3JWDqDXxV9ZjV9T2HVcCNO3LXfVLKjcfPk9V-KoPJWp3L-s3QkY1I7CVvN5RJLBDToqLP3inkAfwGwWeU2vPlGzaLw,,support@adguard.com,,"[""id"",""ms"",""de"",""en"",""fil"",""fr"",""nl"",""no"",""vi"",""tr"",""ca"",""da"",""et"",""es"",""es-419"",""hr"",""it"",""lv"",""lt"",""hu"",""pl"",""pt-BR"",""pt-PT"",""ro"",""sk"",""sl"",""fi"",""sv"",""cs"",""el"",""sr"",""bg"",""ru"",""uk"",""iw"",""fa"",""hi"",""bn"",""ta"",""te"",""kn-IN"",""th"",""ar"",""zh-CN"",""zh-TW"",""ja"",""ko""]",https://adguard.com,https://chromewebstore.google.com/detail/adguard-adblocker/bgnkhhnnamicmpeenaelnjfhikgbkllg,10,,https://chrome-stats.com/api/download?id=bgnkhhnnamicmpeenaelnjfhikgbkllg&version=5.0.170&type=CRX,,free,https://adguard.com/privacy.html,,,,"Klimentos 41-43, KLIMENTOS TOWER, Flat/Office 25
Nicosia 1061
CY",CY,,,,https://github.com/AdguardTeam/AdguardBrowserExtension/issues,,24,,,26,,,,,,,,,,,,,,,,,,,,,,,,
lpcaedmchfhocbbapmcbpinfpgnhiddi,Google Keep Chrome Extension,0,3,0,https://lh3.googleusercontent.com/PX16LKTye9cVfZTehEpKSUQgntIvmjuvkh4kWF55rTIYMsdmYZiuZFJq-0ONQHueFpToU4HBlvGS8b_hdQhNhH7OfA,20241122,4.24462.600.1,4.02448355,7842,Save to Google Keep in a single click!,extension,8000000,productivity/workflow,2024.11.21,2020.7.1,4571791,google.com,https://lh3.googleusercontent.com/BTwPiTyE48QEx-ybmXul-ClKwYIUo6fgAn-UMbVIkXdJaKf4ru20EZPKNo8toOChMwneCChtXSTr7ODDH2TUvPrLKQ,,keep-extension-support@google.com,,"[""id"",""ms"",""de"",""en"",""en-GB"",""fil"",""fr"",""sw"",""nl"",""no"",""vi"",""tr"",""ca"",""da"",""et"",""es"",""es-419"",""hr"",""it"",""lv"",""lt"",""hu"",""pl"",""pt-BR"",""pt-PT"",""ro"",""sk"",""sl"",""fi"",""sv"",""cs"",""el"",""sr"",""bg"",""ru"",""uk"",""iw"",""fa"",""hi"",""bn"",""gu"",""ta"",""te"",""kn-IN"",""ml"",""th"",""am-ET"",""ar"",""zh-CN"",""zh-TW"",""ja"",""ko""]",,https://chromewebstore.google.com/detail/google-keep-chrome-extens/lpcaedmchfhocbbapmcbpinfpgnhiddi,4,,https://chrome-stats.com/api/download?id=lpcaedmchfhocbbapmcbpinfpgnhiddi&version=4.24462.600.1&type=CRX,TRUE,free,https://policies.google.com/privacy,,,,,,TRUE,,TRUE,,,47,,,49,,,,,,,,,,,,,,,,,,,,,,,,
liecbddmkiiihnedobmlmillhodjkdmb,Loom  Screen Recorder & Screen Capture,1,3,0,https://lh3.googleusercontent.com/JUTFMC4PMypuC_fMC8CxpG__kVP8SNlxK-CklMe_OA5SWEDZHJWCTroIQpqtM6VNvTW82AC6TJ6ZKbbZuXcplrupPg,20241122,5.5.72,4.627123667,10124,Record your screen and camera with one click. Share that content in an instant with a link.,extension,7000000,productivity/communication,2024.11.21,2020.6.8,14323548,https://loom.com,https://lh3.googleusercontent.com/GZphaR8moSG7xYShS5_7vJrd5B9-ZbIX7_UVrKUGiPbZbGEE4Jd9yLqccv0h9KSZ-Q9c_MQDbnh0hq5p5QrxT42jHg,,support@loom.com,,"[""en-US""]",https://loom.com,https://chromewebstore.google.com/detail/loom-%E2%80%93-screen-recorder-sc/liecbddmkiiihnedobmlmillhodjkdmb,5,1,https://chrome-stats.com/api/download?id=liecbddmkiiihnedobmlmillhodjkdmb&version=5.5.72&type=CRX,TRUE,free,https://www.loom.com/privacy,,,,"85 2nd Street
Suite 100
San Francisco, CA 94105
US",US,TRUE,,,http://support.loom.com,,58,,,60,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
